,Title,Director,Screenwriter,Main_performer,Types,Region,Language,ShowtTime,Film_length,Score,Rating_people,Watching_people,Wtsee_people,Comments_people
12,三傻大闹宝莱坞 3 Idiots,拉吉库马尔·希拉尼,维德胡·维诺德·乔普拉 / 拉吉库马尔·希拉尼 / 阿希贾特·乔希,阿米尔·汗 / 卡琳娜·卡普尔 / 马达范 ,剧情/喜剧/爱情/歌舞, 印度, 印地语 / 乌尔都语 / 英语,2011/12/8,171分钟(印,9.2,1264421,1948831,148192,240332
13,楚门的世界 The Truman Show,彼得·威尔,安德鲁·尼科尔,金·凯瑞 / 劳拉·琳妮 / 艾德·哈里斯 ,剧情/科幻, 美国, 英语,1998/6/5,103,9.3,1002640,1543165,278925,184168
14,放牛班的春天 Les choristes,克里斯托夫·巴拉蒂,乔治·沙普罗 / 勒·惠勒 / 诺埃-诺尔 / 克里斯托夫·巴拉蒂 / 菲利普·洛佩斯-屈瓦尔,热拉尔·朱尼奥 / 弗朗索瓦·贝莱昂 / 凯德·麦拉德 ,剧情/音乐, 法国 / 瑞士 / 德国, 法语,2004/10/16,97,9.3,880834,1442624,253835,139502
15,星际穿越 Interstellar,克里斯托弗·诺兰,乔纳森·诺兰 / 克里斯托弗·诺兰,马修·麦康纳 / 安妮·海瑟薇 / 杰西卡·查斯坦 ,剧情/科幻/冒险, 美国 / 英国 / 加拿大 / 冰岛, 英语,2014/11/12,169,9.3,1017097,1526083,212330,232833
16,大话西游之大圣娶亲 西遊記大結局之仙履奇緣,刘镇伟,刘镇伟,周星驰 / 吴孟达 / 朱茵 ,喜剧/爱情/奇幻/古装, 中国香港 / 中国大陆, 粤语 / 汉语普通话,1995/2/4,95,9.2,992143,1621715,126432,150276
17,熔炉 ???,黄东赫,孔枝泳 / 黄东赫,孔侑 / 郑有美 / 金志映 ,剧情, 韩国, 韩语,2011/9/22,125,9.3,606280,872154,268754,134076
18,疯狂动物城 Zootopia,拜伦·霍华德,拜伦·霍华德 / 瑞奇·摩尔 / 杰拉德·布什 / 吉姆·里尔顿 / 乔西·特立尼达 / 菲尔·约翰斯顿 / 珍妮弗·李,金妮弗·古德温 / 杰森·贝特曼 / 伊德里斯·艾尔巴 ,喜剧/动画/冒险, 美国, 英语 / 挪威语,2016/3/4,109分钟(中国大,9.2,1172582,1850669,84318,225399
19,龙猫 となりのトトロ,宫崎骏,宫崎骏,日高法子 / 坂本千夏 / 糸井重里 ,动画/奇幻/冒险, 日本, 日语,2018/12/14,86,9.2,850515,1435624,262008,146271
20,无间道 無間道,刘伟强,麦兆辉 / 庄文强,刘德华 / 梁朝伟 / 黄秋生 ,剧情/悬疑/犯罪, 中国香港, 粤语,2002/12/12,101,9.2,811448,1341575,158992,109866
21,教父 The Godfather,弗朗西斯·福特·科波拉,马里奥·普佐 / 弗朗西斯·福特·科波拉,马龙·白兰度 / 阿尔·帕西诺 / 詹姆斯·肯恩 ,剧情/犯罪, 美国, 英语 / 意大利语 / 拉丁语,1972/3/15,175,9.3,624333,942435,299632,95792
22,当幸福来敲门 The Pursuit of Happyness,加布里埃莱·穆奇诺,斯蒂夫·康拉德,威尔·史密斯 / 贾登·史密斯 / 坦迪·牛顿 ,剧情/家庭/传记, 美国, 英语 / 粤语,2008/1/17,117,9.1,1015683,1642043,185857,150951
23,怦然心动 Flipped,罗伯·莱纳,罗伯·莱纳 / 安德鲁·沙因曼 / 文德琳·范·德拉安南,玛德琳·卡罗尔 / 卡兰·麦克奥利菲 / 瑞贝卡·德·莫妮 ,剧情/喜剧/爱情, 美国, 英语,2010/7/26,90,9.1,1165320,1824235,269051,261796
24,触不可及 Intouchables,奥利维埃·纳卡什,奥利维埃·纳卡什 / 埃里克·托莱达诺,弗朗索瓦·克鲁塞 / 奥玛·希 / 安娜·勒尼 ,剧情/喜剧, 法国, 法语,2011/11/2,112,9.2,664539,960379,393893,144231
25,蝙蝠侠：黑暗骑士 The Dark Knight,克里斯托弗·诺兰,乔纳森·诺兰 / 克里斯托弗·诺兰 / 大卫·S·高耶,克里斯蒂安·贝尔 / 希斯·莱杰 / 艾伦·艾克哈特 ,剧情/动作/科幻/惊悚/犯罪, 美国 / 英国, 美国 / 英国,2008/7/14,152,9.2,682844,1050565,153462,111188
26,控方证人 Witness for the Prosecution,比利·怀德,阿加莎·克里斯蒂 / 比利·怀德 / 哈里·库尼兹,泰隆·鲍华 / 玛琳·黛德丽 / 查尔斯·劳顿 ,剧情/悬疑/犯罪, 美国, 英语 / 德语,1957/12/17,116,9.6,253993,310895,249854,68405
27,活着,张艺谋,芦苇 / 余华,葛优 / 巩俐 / 姜武 ,剧情/家庭/历史, 中国大陆 / 中国香港, 汉语普通话,1994/6/30,132,9.2,526734,779096,272885,101208
28,乱世佳人 Gone with the Wind,维克多·弗莱明,玛格丽特·米歇尔 / 西德尼·霍华德 / 奥利弗·H·P·加勒特 / 本·赫克特 / 乔·斯沃林 / 约翰·范·德鲁登,费雯·丽 / 克拉克·盖博 / 奥利维娅·德哈维兰 ,剧情/爱情/历史/战争, 美国, 英语,1939/12/15,238,9.3,452910,668630,241431,86325
29,摔跤吧！爸爸 Dangal,涅提·蒂瓦里,比于什·古普塔 / 施热亚·简 / 尼基尔·麦罗特拉 / 涅提·蒂瓦里,阿米尔·汗 / 法缇玛·萨那·纱卡 / 桑亚·玛荷塔 ,剧情/家庭/传记/运动, 印度, 印地语,2017/5/5,161分钟(印,9,1026427,1865959,132662,214452
30,少年派的奇幻漂流 Life of Pi,李安,扬·马特尔 / 大卫·麦基,苏拉·沙玛 / 伊尔凡·可汗 / 拉菲·斯波 ,剧情/奇幻/冒险, 美国 / 中国台湾 / 英国 / 加拿大, 美国 / 中国台湾 / 英国 / 加拿大,2012/11/22,127,9.1,971460,1495187,194292,216602
